sourceDataSystem,fieldName,codeName,codeDefinition,definitionSource,comments,
CAP HLI,MajorPopGroup,Clearwater,Clearwater,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Grande Ronde,Grande Ronde,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Hells Canyon,Hells Canyon,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Imnaha,Imnaha,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Lower Snake,Lower Snake,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Salmon,Salmon,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Cascades Eastern Slope Tributaries,Cascades Eastern Slope Tributaries,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,John Day,John Day,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Walla Walla and Umatilla,Walla Walla and Umatilla,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Yakima,Yakima,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Stanley Basin,Stanley Basin,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Grande Ronde/Imnaha,Grande Ronde/Imnaha,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Middle Fork Salmon,Middle Fork Salmon,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,South Fork Salmon,South Fork Salmon,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Upper Salmon,Upper Salmon,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Snake River,Snake River,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,N/A,N/A,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Lakes,Lakes,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Mid-Coast,Mid-Coast,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Mid-South Coast,Mid-South Coast,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,North Coast,North Coast,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Umpqua,Umpqua,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Central and South Puget Sound,Central and South Puget Sound,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Hood Canal and Strait of Juan de Fuca,Hood Canal and Strait of Juan de Fuca,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Northern Cascades,Northern Cascades,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Ozette Lake,Ozette Lake,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Hood Canal,Hood Canal,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Central/South Sound,Central/South Sound,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Strait of Georgia,Strait of Georgia,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Strait of Juan de Fuca,Strait of Juan de Fuca,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Whidbey Basin,Whidbey Basin,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Willamette,Willamette,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Cascade summer,Cascade summer,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Cascade winter,Cascade winter,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Gorge summer,Gorge summer,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Gorge winter,Gorge winter,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Cascade,Cascade,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Coast,Coast,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Gorge,Gorge,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Cascade fall,Cascade fall,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Cascade late fall,Cascade late fall,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Cascade spring,Cascade spring,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Coast fall,Coast fall,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Gorge fall,Gorge fall,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
CAP HLI,MajorPopGroup,Gorge spring,Gorge spring,https://www.streamnet.org/cap/current-hli/current-pop/,link given in DES is broken: download 'ca-populations.xls' from https://www.streamnet.org/cap/current-hli/current-pop/,
FMD,SpecieID,1,Chinook salmon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,2,Coho salmon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,3,Steelhead,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,4,Sockeye salmon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,5,Chum salmon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,6,Pink salmon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,39,Mixed salmon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,96,Mixed anadromous salmonids,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,66,Kokanee,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,14,Bull trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,10,Brown trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,11,Brook trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,9,Rainbow trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,23,Redband trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,111,Rainbow/redband/steel head trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,17,Coastal cutthroat trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,21,Westslope cutthroat trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,8,Cutthroat trout,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,94,Mixed lamprey,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,113,Lamprey (unspecified),StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,122,Pacific lamprey,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,120,Western brook lamprey,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,15,Lamprey (CODE DISCONTINUED),StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,12,White sturgeon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,44,Green sturgeon,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,98,N/A,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,99,Unknown,StreamNet-DataExchangeStandard20200201 Trend table,DES indicates Full list is available from streamnet staff: ask Mike Banach,
FMD,SpecieID,7,Masu (cherry) salmon,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,13,Atlantic salmon,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,16,Dolly Varden/Arctic char,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,18,Bonneville cutthroat trout,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,19,Snake River fine-spotted cutthroat trout,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,20,Lahontan cutthroat trout,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,22,Yellowstone cutthroat trout,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,24,Arctic grayling,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,25,Walleye,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,26,Northern pike,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,27,Mountain whitefish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,28,Blue sucker,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,29,Paddlefish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,30,Pallid sturgeon,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,31,Northern pearl dace,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,32,Finescale dace,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,33,Shorthead sculpin,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,34,Shortnose gar,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,35,Sicklefin chub,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,36,Spoonhead sculpin,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,37,Sturgeon chub,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,38,Mountain sucker,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,40,Rainbow trout X Cutthroat trout hybrid,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,41,Common carp,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,42,Northern pikeminnow,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,43,Chiselmouth,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,45,Golden trout,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,46,Sculpins,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,47,Largemouth bass,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,48,Black crappie,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,49,Channel catfish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,50,Smallmouth bass,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,51,Bluegill,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,52,White crappie,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,53,American shad,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,54,Miscellaneous marine species,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,55,Miscellaneous freshwater species,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,56,Lake trout,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,57,Pumpkinseed,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,58,Lake whitefish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,59,Bridgelip sucker,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,60,Largescale sucker,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,61,Longnose dace,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,62,Yellow perch,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,63,Redside shiner,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,64,Sand roller,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,65,Speckled dace,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,67,Longnose sucker,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,68,Tench,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,69,Burbot,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,70,Peamouth,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,71,Brown bullhead,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,72,Black bullhead,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,73,Yellow bullhead,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,74,Flathead catfish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,75,Lake chub,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,76,Threespine stickleback,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,77,Crappie,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,78,Pygmy whitefish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,79,Black bass,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,80,Striped bass,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,81,Vegetation:  riparian,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,82,Vegetation:  upland,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,83,Vegetation:  unspecified,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,84,Muskellunge,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,85,Tiger muskellunge,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,86,Torrent sculpin,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,87,Slimy sculpin,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,88,Sacramento sucker,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,89,California roach,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,90,Sacramento pikeminnow,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,91,Goldfish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,92,Fathead minnow,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,93,Not specified,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,95,Mixed resident salmonids,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,97,Wildlife,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,98,N/A (not applicable),StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,99,Fishes,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
FMD,SpecieID,100,Western mosquitofish,StreamNet species codes as of 2023-04-17.xlsx from Mike Banach,none,
