source,Code,Name,Definition,Status,Start Year,End Year,Tag Code Mask,Manufacturer
ConditionalComment.csv,DF,Dorsal Fin Damage,Fish has damage to the dorsal fin.,,,,,
ConditionalComment.csv,DI,Deep Insertion,PIT tag was implanted more deeply than recommended.,,,,,
ConditionalComment.csv,DK,Dark Body Color,Fish either has dark patches or is entirely darker than expected.,,,,,
ConditionalComment.csv,DO,Dis-orbited Eye,Fish has an eyeball that is no longer contained within the orbit.,,,,,
ConditionalComment.csv,DT,Duplicate Tag,"Tag code previously used, needs to be verified as correct and have previous disowned. Often used to explain reason for dotting out a record.",,,,,
ConditionalComment.csv,EB,Electro-Shocker Burn,Fish shows evidence of a burn from being electro-shocked.,,,,,
ConditionalComment.csv,EF,Fin Erosion,"Fish shows some distinegration of the fins through bacterial infections in nature, aquaria or aquaculture, aggravated by crowding and nutritional problems in aquaculture tanks.",,,,,
ConditionalComment.csv,EJ,Elastomer Jet / Photonic Fin Mark,"Fish is marked by a fluorescent plastic tag, visible externally although implanted into clear tissues with a small needle. The tag is liquid but becomes a pliable solid after injection. Often used to identify groups of fish.",,,,,
ConditionalComment.csv,EL,Damaged Eye - Left - after Tagging,Fish has a damaged left eye observed after it was marked with a PIT tag.,,,,,
ConditionalComment.csv,EM,Excessive Mucous,Fish has an increased amount of mucous present on its skin.,,,,,
ConditionalComment.csv,ER,Damaged Eye - Right - after Tagging,Fish has a damaged right eye observed after it was marked with a PIT tag.,,,,,
ConditionalComment.csv,FE,Female,Fish has been sexed as a female. Primarily used when tagging adults.,,,,,
ConditionalComment.csv,FU,Fungus,Fish has some amount of fungus present on its body.,,,,,
ConditionalComment.csv,FX,Fish Examination,Fish was out of water for an unusually long time during examination.,,,,,
ConditionalComment.csv,GB,Gas Bubble Trauma,"Fish exhibits signs of gas bubble disease caused by supersaturated gases in water entering the body fluids causing bubbles. Often seen in gills, eyes, skin and yolk sacs where membranes are the most gas permeable.",,,,,
ConditionalComment.csv,GM,Grit Mark,Grit mark present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,GS,Gill Sample,A tissue sample was taken from the fish's gill.,,,,,
ConditionalComment.csv,HE,Hemmorhage,Hemmorhaging was noted somewhere on the body.,,,,,
ConditionalComment.csv,I,Body Injury - Prior to Tagging,"Fish has an injury to the body, observed before it was marked with a PIT tag.",,,,,
ConditionalComment.csv,IM,Immature,Fish is sexually immature.,,,,,
ConditionalComment.csv,JA,Jack,Fish has become sexually mature after one year in salt water.,,,,,
ConditionalComment.csv,JT,Jaw Tagged,Jaw tag present or applied during current PIT tag event.,,,,,
ConditionalComment.csv,JW,Jaw Damage,Fish has damage to its jaw.,,,,,
ConditionalComment.csv,KD,Possible BKD,"Salmonid fish exhibits symptoms consistent with bacterial kidney disease, a slowly progressive systemic infection caused by bacteria.",,,,,
ConditionalComment.csv,KL,Kelt,A spawned out anadromous steelhead trout.,,,,,
ConditionalComment.csv,L,Fish Lost/Rejected Tag before Release,"Tag was shed or rejected from fish after tagging but before it was released (for example, tag was found in the recovery tank after fish were relesed post-tagging). Often used a reason for dotting out a record.",,,,,
ConditionalComment.csv,LA,Lacerations,Fish has cuts on its body.,,,,,
ConditionalComment.csv,LF,Large Fish Flume from Separator,Fish was collected from the flume exiting the large fish section of a separator that sorts fish by size.,,,,,
ConditionalComment.csv,LP,Left Pectoral Fin Ray Sample,A tissue sample was taken from the left pectoral fin ray.,,,,,
ConditionalComment.csv,LT,Light Body Color,Fish has light-colored patches or is entirely lighter in color than expected.,,,,,
ConditionalComment.csv,LV,Left Ventral Fin Clip,Left ventral fin clip present or applied during current PIT tag event.,,,,,
ConditionalComment.csv,M,Mortality,A previously PIT tagged fish has been recovered post-mortem.,,,,,
ConditionalComment.csv,MA,Male,Fish has been sexed as a male.  Primarily used when tagging adults.,,,,,
ConditionalComment.csv,MB,Bleeding at Tagging/Died Pre-Release,"Fish was bleeding when it was tagged and died after tagging, but before release.",,,,,
ConditionalComment.csv,MJ,Minijack,Fish has become sexually mature after no winters in saltwater.,,,,,
ConditionalComment.csv,MK,Removed from Release Group (Killed),Fish was intentionally removed from the release group population and killed prior to release.,,,,,
ConditionalComment.csv,ML,Left Maxillary Clip,Left maxillary clip present or applied during current PIT tag event.,,,,,
ConditionalComment.csv,MP,Macrophthalmia Lamprey,Lamprey in the juvenile phase between ammocoete and adult. Sucker disk and eyes present.,,,,,
ConditionalComment.csv,MR,Right Maxillary Clip,Right maxillary clip present or applied during current PIT tag event.,,,,,
ConditionalComment.csv,MS,Sample Mort (Intentional Sacrifice),Fish was killed as part of a sample.,,,,,
ConditionalComment.csv,MT,Mature,Fish is sexually mature.,,,,,
ConditionalComment.csv,NF,Non-Functional Tag also in Fish,Fish has a non-functional PIT tag implanted along with a functional tag.,,,,,
ConditionalComment.csv,NM,No Mucous,Fish has no mucous present on its skin.,,,,,
ConditionalComment.csv,OP,Opercule Damage,Fish has damage to the opercule.,,,,,
ConditionalComment.csv,PA,Parasite,Fish has a visible parasite.,,,,,
ConditionalComment.csv,PB,Previously Branded,Fish was branded before the current handling event.,,,,,
ConditionalComment.csv,PC,Poor Fin Clip,Fish has an incomplete or poorly completed fin clip; the fin that is poorly clipped will be specified with another flag code (e.g. LV = Left Ventral Fin Clip).,,,,,
ConditionalComment.csv,PD,Peterson Disc,Fish has Peterson disc tag present or applied during current PIT tag event.,,,,,
ConditionalComment.csv,PO,Passive Observation,"Passive recapture. A previously PIT-tagged fish is opportunistically detected, but not handled, subsequent to the mark event.",,,,,
ConditionalComment.csv,PR,Precocious,Fish has matured quickly or faster than other fish of its age-class. Often used for matured male parr or smolts.,,,,,
ConditionalComment.csv,PT,Pectoral Fin Damage,Fish has damage to the pectoral fin.,,,,,
ConditionalComment.csv,PV,Pelvic Fin Damage,Fish has damage to the pelvic fin.,,,,,
ConditionalComment.csv,Q1,Complete and Legible Freeze Brand,Complete and Legible Freeze Brand,,,,,
ConditionalComment.csv,Q2,Brand is Legible but Incomplete,Freeze brand is legible but incomplete,,,,,
ConditionalComment.csv,Q3,Brand is not Legible,Freeze brand is not legible,,,,,
ConditionalComment.csv,Q4,Brand Rotation or Position Wrong,Freeze brand rotation or position wrong,,,,,
ConditionalComment.csv,Q5,No Brand,No freeze brand is present,,,,,
ConditionalComment.csv,Q6,Brand Caused Light to Excessive Burn,Freeze brand caused light to excessive burn,,,,,
ConditionalComment.csv,RE,Recapture,"A previously PIT-tagged fish is recaptured, handled, and re-released subsequent to the mark event.",,,,,
ConditionalComment.csv,RF,Returning Fish,Fish has returned from the ocean and is migrating upstream at the time of the event.,,,,,
ConditionalComment.csv,RP,Right Pectoral Fin Ray Sample,Tissue sample taken from the right pectoral fin ray.,,,,,
ConditionalComment.csv,RT,Radio Tagged,Radio tag present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,RV,Right Ventral Fin Clip,Right ventral fin clip present or applied during current PIT tag event.,,,,,
ConditionalComment.csv,SC,Scoliosis,Fish has scoliosis.,,,,,
ConditionalComment.csv,SF,Small Fish Flume from Separator,Fish was collected from the flume exiting the small fish section of a separator that sorts fish by size.,,,,,
ConditionalComment.csv,SI,Sonic (Acoustic) Tag Implant,Acoustic tag present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,SM,Subsequent Mort,"Fish died as a result of some activity other than tagging (e.g., gill clip, scale collection, etc.).",,,,,
ConditionalComment.csv,SP,Spaghetti Tag,Spaghetti tag present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,ST,Streamer Tag,Streamer tag present or applied duirng the current PIT tag event.,,,,,
ConditionalComment.csv,SU,Surgery,Surgery was performed on the fish.,,,,,
ConditionalComment.csv,SV,Silvery Body Color,Fish has silvery body color.,,,,,
ConditionalComment.csv,TB,Anchor (T-bar) Tag,T-bar or other anchor tag present or applied during the current PIT tag event.,,,,,
ConditionalComment.csv,TM,Tagged In Muscle,PIT tag was inadvertently implanted into the muscle instead of the abdominal cavity.,,,,,
ConditionalComment.csv,UL,Ulcer,The fish has an open eruption or sore on its body.,,,,,
ConditionalComment.csv,VI,Visual Implant / Eye Adipose,"Visual eye implant (with text, not elastomer) present or applied during the current PIT tag event.",,,,,
ConditionalComment.csv,WD,Possible Whirling Disease,Fish exhibits symptoms of whirling disease.,,,,,
ConditionalComment.csv,X,Duplicate Tag for Pre-Release Mort,Archaic. Was used to indicate the original fish tagged with this code died before release and the tag was reused in another fish.,,,,,
ConditionalComment.csv,Y,Possible Age One (Yearling),"Fish appears to be a yearling, but it is not certain.",,,,,
Hatchery.csv,,No Hatchery Specified,,,,,,
Hatchery.csv,ABEH,Abernathy SCTC,,,,,,
Hatchery.csv,AHSH,Astoria High School Hatchery,,,,,,
Hatchery.csv,BEAH,Beaver Creek Hatchery,,,,,,
Hatchery.csv,BIGC,Big Creek Hatchery (ODFW),,,,,,
Hatchery.csv,BONH,Bonneville Hatchery,,,,,,
Hatchery.csv,BURL,"Burley Hatchery, Puget Sound",,,,,,
Hatchery.csv,CARS,Carson NFH,,,,,,
Hatchery.csv,CASC,Cascade Hatchery,,,,,,
Hatchery.csv,CASS,Cassimer Bar Hatchery,,,,,,
Hatchery.csv,CFRF,Chelan Falls Rearing Facility,,,,,,
Hatchery.csv,CHEL,Chelan PUD Hatchery,,,,,,
Hatchery.csv,CHIP,Chiwawa Rearing Pond,,,,,,
Hatchery.csv,CLAH,Clackamas Hatchery,,,,,,
Hatchery.csv,CLEE,Cle Elum Hatchery,,,,,,
Hatchery.csv,CLWH,Clearwater Hatchery,,,,,,
Hatchery.csv,COWS,Cowlitz Salmon Hatchery (now Salkum H.),,,,,,
Hatchery.csv,COWT,Cowlitz Trout Hatchery (now Blue Creek H.),,,,,,
Hatchery.csv,CROP,Crooked River Rearing Pond,,,,,,
Hatchery.csv,DRYP,Dryden Acclimation Pond,,,,,,
Hatchery.csv,DWOR,Dworshak NFH,,,,,,
Hatchery.csv,EAGH,Eagle Creek NFH,,,,,,
Hatchery.csv,EAGL,Eagle Hatchery,,,,,,
Hatchery.csv,EBNK,East Bank Hatchery Facility,,,,,,
Hatchery.csv,ELRH,Elochoman River (Washington) Hatchery,,,,,,
Hatchery.csv,ENTH,Entiat NFH,,,,,,
Hatchery.csv,FPGL,Fish Performance and Genetics Laboratory,,,,,,
Hatchery.csv,GNAT,Gnat Creek Hatchery,,,,,,
Hatchery.csv,GRAY,Grays River Hatchery,,,,,,
Hatchery.csv,HAGE,Hagerman NFH,,,,,,
Hatchery.csv,IRRI,Irrigon Hatchery,,,,,,
Hatchery.csv,ISQH,Issaquah Hatchery,,,,,,
Hatchery.csv,KALA,"Kalama Falls Hatchery, WDFW",,,,,,
Hatchery.csv,KLAS,Klaskanine Hatchery,,,,,,
Hatchery.csv,KLIH,Klickitat Hatchery,,,,,,
Hatchery.csv,KOOS,Kooskia NFH,,,,,,
Hatchery.csv,KOTH,Kootenay Trout Hatchery (British Columbia),,,,,,
Hatchery.csv,LEAB,Leaburg Hatchery,,,,,,
Hatchery.csv,LEAV,Leavenworth NFH,,,,,,
Hatchery.csv,LEWH,Lewis River Hatchery,,,,,,
Hatchery.csv,LFAF,Little Falls Acclimation Facility,,,,,,
Hatchery.csv,LOOH,Lookingglass Hatchery,,,,,,
Hatchery.csv,LOWK,Lower Kalama Hatchery,,,,,,
Hatchery.csv,LWSH,Little White Salmon NFH,,,,,,
Hatchery.csv,LYFE,Lyons Ferry Hatchery,,,,,,
Hatchery.csv,MARI,Marion Forks Hatchery,,,,,,
Hatchery.csv,MAVA,Magic Valley Hatchery,,,,,,
Hatchery.csv,MCCA,McCall Hatchery,,,,,,
Hatchery.csv,MCKE,McKenzie Hatchery,,,,,,
Hatchery.csv,MDSH,Marion Drain Sturgeon Hatchery,,,,,,
Hatchery.csv,MERH,Merwin Hatchery,,,,,,
Hatchery.csv,METH,Methow Hatchery,,,,,,
Hatchery.csv,MONT,Montlake Hatchery,,,,,,
Hatchery.csv,MRSH,Melvin R. Sampson Hatchery,,,,,,
Hatchery.csv,NCHH,Naches Hatchery,,,,,,
Hatchery.csv,NISP,Niagara Springs Hatchery,,,,,,
Hatchery.csv,NPTH,Nez Perce Tribal Hatchery,,,,,,
Hatchery.csv,OASP,Oak Springs Hatchery,,,,,,
Hatchery.csv,OHRC,Oregon Hatchery Research Center,,,,,,
Hatchery.csv,ONAF,Okanagan Nation Alliance k? cp’?lk’ stim’ Hatchery,,,,,,
Hatchery.csv,OXBH,"Oxbow Hatchery, Cascades Locks, OR (ODFW)",,,,,,
Hatchery.csv,OXBO,"Oxbow Hatchery, Hells Canyon (IDFG)",,,,,,
Hatchery.csv,PAHH,Pahsimeroi Hatchery,,,,,,
Hatchery.csv,PARK,Parkdale Hatchery,,,,,,
Hatchery.csv,POWP,Powell Rearing Pond,,,,,,
Hatchery.csv,PRDH,Priest Rapids Hatchery,,,,,,
Hatchery.csv,PROH,Prosser Hatchery,,,,,,
Hatchery.csv,RAPH,Rapid River Hatchery,,,,,,
Hatchery.csv,REDP,Red River Rearing Pond,,,,,,
Hatchery.csv,RINH,Ringold Hatchery,,,,,,
Hatchery.csv,ROAR,Roaring River Hatchery,,,,,,
Hatchery.csv,ROBU,Round Butte Hatchery,,,,,,
Hatchery.csv,RRHH,Rocky Reach Hatchery (Archaic - use TURO),,,,,,
Hatchery.csv,SAND,Sandy Hatchery,,,,,,
Hatchery.csv,SAWT,Sawtooth Hatchery,,,,,,
Hatchery.csv,SCFH,Sherman Creek State Fish Hatchery,,,,,,
Hatchery.csv,SERH,"Sea Resources Hatchery (Chinook River, WA)",,,,,,
Hatchery.csv,SIMP,Similkameen Pond/Hatchery,,,,,,
Hatchery.csv,SKAM,Skamania Hatchery,,,,,,
Hatchery.csv,SOSA,South Santiam Hatchery,,,,,,
Hatchery.csv,SPEE,Speelyai Hatchery,,,,,,
Hatchery.csv,SPRC,Spring Creek NFH,,,,,,
Hatchery.csv,SPRF,Springfield Fish Hatchery,,,,,,
Hatchery.csv,STFH,Spokane Tribal Hatchery,,,,,,
Hatchery.csv,SWSP,Sweetwater Springs Hatchery,,,,,,
Hatchery.csv,TOUT,"North Toutle Hatchery, WDFW",,,,,,
Hatchery.csv,TRAS,Trask Hatchery,,,,,,
Hatchery.csv,TUCH,Tucannon Hatchery,,,,,,
Hatchery.csv,TURO,Turtle Rock Hatchery,,,,,,
Hatchery.csv,UMAH,Umatilla Hatchery,,,,,,
Hatchery.csv,VANC,Vancouver Hatchery,,,,,,
Hatchery.csv,WAHA,"Washougal Hatchery, WDFW",,,,,,
Hatchery.csv,WALH,Wallowa Hatchery,,,,,,
Hatchery.csv,WELH,Wells Hatchery,,,,,,
Hatchery.csv,WHSH,Warrenton (OR) High School Hatchery,,,,,,
Hatchery.csv,WILH,Willamette Hatchery,,,,,,
Hatchery.csv,WILL,Willard NFH,,,,,,
Hatchery.csv,WINT,Winthrop NFH,,,,,,
Hatchery.csv,WSPH,Warm Springs NFH,,,,,,
Hatchery.csv,WZDF,Wizard Falls Hatchery,,,,,,
Hatchery.csv,YAKH,Yakima Hatchery,,,,,,
MarkMethod.csv,AUTO,Auto Tagger,,,,,,
MarkMethod.csv,GAST,Gastric Implantation,,,,,,
MarkMethod.csv,HAND,Hand-Held Syringe,,,,,,
MarkMethod.csv,NONE,None,,,,,,
MarkMethod.csv,SURG,Surgically Implanted,,,,,,
MrrProject.csv,AAB,Alan Byrne Projects,,Inactive,1993.0,2006,,
MrrProject.csv,ACG,Andrew Grassell Projects,,Inactive,2003.0,2006,,
MrrProject.csv,ACP,Asotin Creek Project,,Active,2010.0,Present,,
MrrProject.csv,AEK,Andre Kohler Projects,,Inactive,2010.0,2010,,
MrrProject.csv,AFB,Arnie Brimmer Projects,,Inactive,2000.0,2008,,
MrrProject.csv,AFE,Allen Evans Projects,,Active,2002.0,Present,,
MrrProject.csv,AFS,"IDFG Anadromous Fish Screening, Passage, and Habitat Program.",,Active,2017.0,Present,,
MrrProject.csv,AJG,Andrew Gingerich Douglas County PUD projects,,Active,2014.0,Present,,
MrrProject.csv,AJV,Alexis Vaivoda Projects,,Inactive,2005.0,2006,,
MrrProject.csv,ALS,Ann Setter Projects,,Inactive,1998.0,2004,,
MrrProject.csv,AMR,Michelle Rub Projects,,Active,2007.0,Present,,
MrrProject.csv,APD,Avian Predation Detections,,Active,2007.0,Present,,
MrrProject.csv,APR,Andy Reasoner Projects,,Inactive,2001.0,2002,,
MrrProject.csv,BAD,ODFW Bass Angling at Columbia River Dams,,Inactive,2011.0,2012,,
MrrProject.csv,BAR,Brad Ryan Projects,,Inactive,2000.0,2006,,
MrrProject.csv,BCJ,Brian Jonasson Projects,,Inactive,1992.0,2017,,
MrrProject.csv,BCS,Bear Valley Creek Chinook Salmon Abundance Monitoring,,Active,2013.0,Present,,
MrrProject.csv,BDA,Bill Arnsberg Projects,,Active,1992.0,Present,,
MrrProject.csv,BDB,Brian Benjamin Projects,,Inactive,2006.0,2007,,
MrrProject.csv,BDL,Brian Leth Projects,,Active,2006.0,Present,,
MrrProject.csv,BDM,Brian Michaels Projects,,Inactive,2006.0,2012,,
MrrProject.csv,BDW,Bruce Watson Projects,,Inactive,1997.0,2012,,
MrrProject.csv,BGK,Barry Keesee Projects,,Inactive,2008.0,2013,,
MrrProject.csv,BGT,Behr Turner Projects,,Inactive,2005.0,2008,,
MrrProject.csv,BHM,Bruce Monk Projects,,Inactive,2000.0,2002,,
MrrProject.csv,BIO,CTUIR Fish Habitat Enhancement Biological Effectiveness Monitoring,,Inactive,2016.0,2016,,
MrrProject.csv,BJB,Brett Bowersox Projects,,Active,2006.0,Present,,
MrrProject.csv,BMI,"Biomark, Inc. Projects",,Active,2016.0,Present,,
MrrProject.csv,BPK,Brian Kennedy Projects,,Inactive,2008.0,2018,,
MrrProject.csv,BPS,Tryon Creek Restoration Monitoring,,Inactive,2013.0,2019,,
MrrProject.csv,BRB,Brian Beckman Projects,,Inactive,1993.0,1993,,
MrrProject.csv,CAC,Tagging/Release of Salmonids in the GR Basin for Monitoring and Evaluating,,Active,2023.0,Present,,
MrrProject.csv,CAG,WDFW Columbia River Alternative Gear Study,,Inactive,2012.0,2017,,
MrrProject.csv,CAM,Columbia River ABOVE McNary Dam PNNL,,Active,2016.0,Present,,
MrrProject.csv,CAP,Chris Peery Projects,,Inactive,2002.0,2008,,
MrrProject.csv,CAR,Chris Reighn Projects,,Inactive,1997.0,1999,,
MrrProject.csv,CBB,Carrie Bretz Projects,,Active,2009.0,Present,,
MrrProject.csv,CBM,Columbia River BELOW McNary Dam PNNL,,Inactive,2016.0,2018,,
MrrProject.csv,CCC,Chris Caudill Projects,,Inactive,2009.0,2019,,
MrrProject.csv,CCP,Charlie Cochran Projects,,Active,2003.0,Present,,
MrrProject.csv,CCW,Catherine Willard Projects,,Inactive,2004.0,2005,,
MrrProject.csv,CDA,Coeur d'Alene Tribe Educational Releases,,Active,2020.0,Present,,
MrrProject.csv,CDR,Craig Rabe Projects,,Active,2006.0,Present,,
MrrProject.csv,CED,Washington Department of Fish and Wildlife Cedar Creek PIT projects,,Inactive,2018.0,2018,,
MrrProject.csv,CEJ,Chris Jordan Projects,,Inactive,2009.0,2011,,
MrrProject.csv,CFB,Cyndi Baker Projects,,Inactive,2002.0,2006,,
MrrProject.csv,CFM,Charles Morrill Projects,,Inactive,1993.0,2013,,
MrrProject.csv,CGN,"Columbia River Fisheries Program Office Instream, M & E Projects",,Active,2004.0,Present,,
MrrProject.csv,CGS,Charles Snow Projects,,Active,2004.0,Present,,
MrrProject.csv,CHE,Chehalis Tribal Fisheries,,Inactive,2014.0,2014,,
MrrProject.csv,CJP,CCT Chief Joseph Hatchery Science Program,,Active,2012.0,Present,,
MrrProject.csv,CLD,Curt Dotson Projects,,Inactive,2008.0,2017,,
MrrProject.csv,CM,Christine Mallette Projects,,Inactive,2003.0,2003,,
MrrProject.csv,CME,Chelan PUD Monitoring and Evaluation,,Active,2012.0,Present,,
MrrProject.csv,CMK,Cory Kamphaus Projects,,Active,2009.0,Present,,
MrrProject.csv,CMP,Chuck Peven Projects,,Inactive,2006.0,2011,,
MrrProject.csv,COH,Nez Perce Tribe Coho Project,,Active,2012.0,Present,,
MrrProject.csv,COW,Coweeman Research Projects,,Inactive,2018.0,2018,,
MrrProject.csv,CPN,Cathlamet Pound Net,,Active,2017.0,Present,,
MrrProject.csv,CRC,Craig Contor Projects,,Active,2003.0,Present,,
MrrProject.csv,CRE,Columbia River Estuary Study Taskforce Projects,,Inactive,2012.0,2012,,
MrrProject.csv,CRF,WDFW Columbia River Fishery Recoveries,,Active,2012.0,Present,,
MrrProject.csv,CRH,Colville Confederated Tribes Resident Hatchery,,Inactive,2013.0,2014,,
MrrProject.csv,CSM,Scott McCutcheon Projects,,Inactive,1991.0,2016,,
MrrProject.csv,CSS,Comparative Survival Study,,Active,2011.0,Present,,
MrrProject.csv,CTF,Colville Tribes Resident Fish Research,,Active,2014.0,Present,,
MrrProject.csv,CWS,Colville Tribes White Sturgeon,,Active,2021.0,Present,,
MrrProject.csv,CWV,USACE Willamette Valley Research Projects,,Inactive,2011.0,2018,,
MrrProject.csv,DAB,Dean Brege Projects,,Inactive,2002.0,2004,,
MrrProject.csv,DAC,Dave Cannamela Projects,,Inactive,1990.0,1996,,
MrrProject.csv,DAN,Duane Neitzel Projects,,Inactive,1991.0,1991,,
MrrProject.csv,DAV,David Venditti Projects,,Inactive,2004.0,2016,,
MrrProject.csv,DAW,Dave Wills Projects,,Inactive,1998.0,2001,,
MrrProject.csv,DBJ,David Johnson Projects,,Inactive,1996.0,1997,,
MrrProject.csv,DBR,Deschutes Basin Reintroduction,,Active,2015.0,Present,,
MrrProject.csv,DDT,Doug Taki Projects,,Active,1993.0,Present,,
MrrProject.csv,DFM,Dayton Fish Management,,Active,2014.0,Present,,
MrrProject.csv,DJD,Dan Donima Projects,,Inactive,2006.0,2006,,
MrrProject.csv,DJG,Methow Basin Coho Reintroduction Program,,Active,2022.0,Present,,
MrrProject.csv,DJN,Doug Nemeth Projects,,Inactive,1995.0,1998,,
MrrProject.csv,DMH,David Hand Projects,,Inactive,2009.0,2009,,
MrrProject.csv,DMM,Tiffani Marsh Projects,,Active,1993.0,Present,,
MrrProject.csv,DPC,Doug Cramer Projects,,Inactive,1992.0,1992,,
MrrProject.csv,DPL,Douglas County PUD Pacific Lamprey Projects,,Inactive,2014.0,2014,,
MrrProject.csv,DPM,Dave Marvin Projects,,Inactive,1998.0,2011,,
MrrProject.csv,DRH,Doug Hatch Projects,,Active,2009.0,Present,,
